time,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2023-12-29 20:00:00,7.5,81,22.5,2.9
2023-12-29 21:00:00,7.1,82,21.8,2.5
2023-12-29 22:00:00,6.7,83,21.5,2.1
2023-12-29 23:00:00,6.3,84,20.2,1.9
2023-12-30 00:00:00,6.2,84,19.2,1.9
2023-12-30 01:00:00,6.6,81,18.8,2.3
2023-12-30 02:00:00,6.5,83,16.6,2.6
2023-12-30 03:00:00,6.2,85,14.7,2.7
2023-12-30 04:00:00,5.7,89,13.5,2.4
2023-12-30 05:00:00,5.9,88,11.0,2.9
2023-12-30 06:00:00,6.9,80,11.4,3.8
2023-12-30 07:00:00,7.7,79,12.3,4.5
2023-12-30 08:00:00,8.3,87,16.8,4.9
2023-12-30 09:00:00,9.1,88,18.6,5.6
2023-12-30 10:00:00,9.8,87,22.4,6.0
2023-12-30 11:00:00,10.7,86,25.8,6.5
2023-12-30 12:00:00,11.2,84,27.1,6.8
2023-12-30 13:00:00,11.6,82,26.0,7.4
2023-12-30 14:00:00,11.3,84,25.5,7.2
2023-12-30 15:00:00,11.0,84,24.9,6.9
2023-12-30 16:00:00,10.9,85,25.7,6.7
2023-12-30 17:00:00,11.1,84,28.3,6.5
2023-12-30 18:00:00,11.3,83,31.2,6.4
2023-12-30 19:00:00,11.6,81,31.4,6.6
2023-12-30 20:00:00,11.8,79,31.4,6.7
2023-12-30 21:00:00,11.5,82,32.1,6.5
2023-12-30 22:00:00,11.3,83,33.5,6.0
2023-12-30 23:00:00,11.3,82,33.5,6.0
2023-12-31 00:00:00,10.4,89,33.6,5.1
2023-12-31 01:00:00,10.5,90,32.4,5.4
2023-12-31 02:00:00,9.4,89,25.0,5.1
2023-12-31 03:00:00,8.5,88,24.6,4.0
2023-12-31 04:00:00,8.5,85,27.1,3.6
2023-12-31 05:00:00,8.4,84,30.1,3.0
2023-12-31 06:00:00,7.5,87,27.4,2.4
2023-12-31 07:00:00,7.0,86,23.2,2.4
2023-12-31 08:00:00,6.8,86,21.6,2.3
2023-12-31 09:00:00,7.5,85,24.5,2.7
2023-12-31 10:00:00,8.1,83,29.0,2.7
2023-12-31 11:00:00,8.7,81,27.5,3.6
2023-12-31 12:00:00,9.4,77,28.4,4.2
2023-12-31 13:00:00,9.5,76,27.3,4.4
2023-12-31 14:00:00,9.5,75,26.8,4.4
2023-12-31 15:00:00,9.3,72,25.2,4.3
2023-12-31 16:00:00,8.5,74,23.5,3.7
2023-12-31 17:00:00,8.0,76,25.8,2.8
2023-12-31 18:00:00,8.2,74,28.0,2.6
2023-12-31 19:00:00,8.4,72,30.8,2.4
2023-12-31 20:00:00,8.1,73,31.4,2.0
2023-12-31 21:00:00,8.3,73,30.3,2.4
2023-12-31 22:00:00,8.1,74,29.8,2.3
2023-12-31 23:00:00,8.3,73,29.5,2.6
2024-01-01 00:00:00,8.2,74,29.3,2.4
2024-01-01 01:00:00,7.8,76,29.7,2.0
2024-01-01 02:00:00,7.3,79,28.6,1.7
2024-01-01 03:00:00,7.2,80,26.8,1.9
2024-01-01 04:00:00,7.1,79,27.1,1.7
2024-01-01 05:00:00,7.1,76,26.9,1.6
2024-01-01 06:00:00,6.8,74,25.1,1.4
2024-01-01 07:00:00,6.5,72,23.6,1.3
2024-01-01 08:00:00,6.2,71,19.6,1.4
2024-01-01 09:00:00,6.5,69,18.9,1.8
2024-01-01 10:00:00,7.1,69,18.5,2.6
2024-01-01 11:00:00,8.0,68,17.6,3.7
2024-01-01 12:00:00,8.4,70,13.3,4.9
2024-01-01 13:00:00,8.6,74,13.8,5.2
2024-01-01 14:00:00,8.8,77,12.2,5.8
2024-01-01 15:00:00,8.6,80,13.8,5.4
2024-01-01 16:00:00,8.2,81,15.5,4.8
2024-01-01 17:00:00,8.2,85,15.9,4.8
2024-01-01 18:00:00,8.5,90,20.9,4.7
2024-01-01 19:00:00,8.9,90,24.5,4.7
2024-01-01 20:00:00,9.3,90,25.7,5.0
2024-01-01 21:00:00,9.6,90,27.6,5.1
2024-01-01 22:00:00,10.1,90,22.8,6.4
2024-01-01 23:00:00,10.7,91,28.9,6.3
2024-01-02 00:00:00,11.9,89,31.8,7.4
2024-01-02 01:00:00,12.4,89,29.4,8.4
2024-01-02 02:00:00,12.5,88,27.7,8.7
2024-01-02 03:00:00,11.9,87,26.2,8.1
2024-01-02 04:00:00,11.3,86,23.6,7.6
2024-01-02 05:00:00,10.9,87,20.4,7.7
